区分,トン数,品番,品名,成形時間,備考
1号機,100,サンプル品番_1,サンプル品名_1,52.14484127,実測
1号機,100,サンプル品番_2,サンプル品名_2,39.29166667,実測
1号機,100,サンプル品番_3,サンプル品名_3,243.3968254,実測
1号機,100,サンプル品番_4,サンプル品名_4,0.813492063,実測
1号機,100,サンプル品番_5,サンプル品名_5,5.369047619,実測
2号機,200,サンプル品番_6,サンプル品名_6,1.138888889,実測
2号機,200,サンプル品番_7,サンプル品名_7,23.83531746,実測
2号機,200,サンプル品番_8,サンプル品名_8,19.68650794,実測
2号機,200,サンプル品番_9,サンプル品名_9,96.72420635,実測
2号機,200,サンプル品番_10,サンプル品名_10,80.45436508,実測
2号機,200,サンプル品番_11,サンプル品名_11,91.19246032,実測
2号機,200,サンプル品番_12,サンプル品名_12,27.49603175,実測
2号機,200,サンプル品番_13,サンプル品名_13,5.303968254,実測
2号機,200,サンプル品番_14,サンプル品名_14,15.86309524,実測
2号機,200,サンプル品番_15,サンプル品名_15,1.78968254,実測
2号機,200,サンプル品番_16,サンプル品名_16,5.857142857,実測
2号機,200,サンプル品番_17,サンプル品名_17,5.303968254,実測
